country,year.x,region,primary_infertility_rate,year.y,age_first_birth
Lithuania,2010,Europe & Central Asia,0.0162584,2009,26.1
Luxembourg,2010,Europe & Central Asia,0.0120711,2008,29.3
"Macao SAR, China",2010,East Asia & Pacific,,,
"Macedonia, FYR",2010,Europe & Central Asia,,,
Madagascar,2010,Sub-Saharan Africa,0.0162888,2008,19.5
Malawi,2010,Sub-Saharan Africa,0.0103842,2010,18.9
Malaysia,2010,East Asia & Pacific,0.0126104,,
Maldives,2010,South Asia,0.0215247,2009,23.9
Mali,2010,Sub-Saharan Africa,0.0213601,2006,18.6
Malta,2010,Middle East & North Africa,0.0110876,2008,26.5
Marshall Islands,2010,East Asia & Pacific,0.0247009,,
Mauritania,2010,Sub-Saharan Africa,0.0123536,,21.9
Mauritius,2010,Sub-Saharan Africa,0.0104525,,
Mexico,2010,Latin America & Caribbean,0.0069403,,
"Micronesia, Fed. Sts.",2010,East Asia & Pacific,,,
Moldova,2010,Europe & Central Asia,0.0250816,,
Monaco,2010,Europe & Central Asia,,,
Mongolia,2010,East Asia & Pacific,0.0146639,2008,22.3
Montenegro,2010,Europe & Central Asia,0.0113127,2008,25.5
Morocco,2010,Middle East & North Africa,0.0245513,,25.4
Mozambique,2010,Sub-Saharan Africa,0.0196375,2003,18.8
Myanmar,2010,East Asia & Pacific,0.0174195,2007,21.8
Namibia,2010,Sub-Saharan Africa,0.0070773,,21.4
Nepal,2010,South Asia,0.0163966,2011,20.1
Netherlands,2010,Europe & Central Asia,0.011800100000000001,2009,29.2
New Caledonia,2010,East Asia & Pacific,,,
New Zealand,2010,East Asia & Pacific,0.0105571,2008,27.7
Nicaragua,2010,Latin America & Caribbean,0.0072673,2001,19.6
Niger,2010,Sub-Saharan Africa,0.020036,2006,18
Nigeria,2010,Sub-Saharan Africa,0.0178073,2008,20.9
Northern Mariana Islands,2010,East Asia & Pacific,,,
Norway,2010,Europe & Central Asia,0.0109107,2008,28.1
Oman,2010,Middle East & North Africa,0.0217988,2000,18.6
Pakistan,2010,South Asia,0.0273731,,22.7
Palau,2010,East Asia & Pacific,,,
Panama,2010,Latin America & Caribbean,0.0067887,,
Papua New Guinea,2010,East Asia & Pacific,0.02779,,
Paraguay,2010,Latin America & Caribbean,0.0122021,2008,22.9
Peru,2010,Latin America & Caribbean,0.005288,,22.3
Philippines,2010,East Asia & Pacific,0.0168449,2008,23.1
Poland,2010,Europe & Central Asia,0.0061388,2008,25.9
Portugal,2010,Europe & Central Asia,0.0150663,2009,27.9
Puerto Rico,2010,Latin America & Caribbean,0.0146271,,
Qatar,2010,Middle East & North Africa,0.0200133,,
Romania,2010,Europe & Central Asia,0.0108426,2008,25.5
Russian Federation,2010,Europe & Central Asia,0.019476,2009,24.6
Rwanda,2010,Sub-Saharan Africa,0.0066365,2010,22.9
Samoa,2010,East Asia & Pacific,0.0228357,2009,23.6
San Marino,2010,Europe & Central Asia,,,
Sao Tome and Principe,2010,Sub-Saharan Africa,,,19.4
Saudi Arabia,2010,Middle East & North Africa,0.0211714,,
Senegal,2010,Sub-Saharan Africa,0.0162051,,21.4
Serbia,2010,Europe & Central Asia,0.0115332,2008,26.5
Seychelles,2010,Sub-Saharan Africa,0.0101716,,
Sierra Leone,2010,Sub-Saharan Africa,0.0187205,2008,19
Singapore,2010,East Asia & Pacific,0.0081968,2010,29.8
Sint Maarten (Dutch part),2010,Latin America & Caribbean,,,
Slovak Republic,2010,Europe & Central Asia,,,
Slovenia,2010,Europe & Central Asia,0.0126434,2009,28.9
Solomon Islands,2010,East Asia & Pacific,0.0268141,2007,21.6
Somalia,2010,Sub-Saharan Africa,0.0136972,,
South Africa,2010,Sub-Saharan Africa,0.0095066,2003,22.5
South Sudan,2010,Sub-Saharan Africa,,,
Spain,2010,Europe & Central Asia,0.0100296,2006,29.3
Sri Lanka,2010,South Asia,0.0153969,,25.4
St. Kitts and Nevis,2010,Latin America & Caribbean,,,
St. Lucia,2010,Latin America & Caribbean,,,
St. Martin (French part),2010,Latin America & Caribbean,,,
St. Vincent and the Grenadines,2010,Latin America & Caribbean,,,
Sudan,2010,Sub-Saharan Africa,0.0142486,,
Suriname,2010,Latin America & Caribbean,0.0165486,,
Swaziland,2010,Sub-Saharan Africa,0.0087828,,19.5
Sweden,2010,Europe & Central Asia,0.0110063,2010,28.9
Switzerland,2010,Europe & Central Asia,0.0120623,2009,30
Syrian Arab Republic,2010,Middle East & North Africa,0.0186849,,
Tajikistan,2010,Europe & Central Asia,0.0137029,,
Tanzania,2010,Sub-Saharan Africa,,,
Thailand,2010,East Asia & Pacific,0.0190842,2009,23.3
Timor-Leste,2010,East Asia & Pacific,0.0152423,,22.1
Togo,2010,Sub-Saharan Africa,0.0111818,,
Tonga,2010,East Asia & Pacific,0.0231172,,
Trinidad and Tobago,2010,Latin America & Caribbean,0.0215604,,
Tunisia,2010,Middle East & North Africa,0.0230925,,
Turkey,2010,Europe & Central Asia,0.0207755,2003,22.9
Turkmenistan,2010,Europe & Central Asia,0.0136129,2006,24.6
Turks and Caicos Islands,2010,Latin America & Caribbean,,,
Tuvalu,2010,East Asia & Pacific,,,
Uganda,2010,Sub-Saharan Africa,0.0122192,2006,18.8
Ukraine,2010,Europe & Central Asia,0.0210522,2008,25.8
United Arab Emirates,2010,Middle East & North Africa,0.0198473,,
United Kingdom,2010,Europe & Central Asia,0.0111916,2009,29.9
United States,2010,North America,,,
Uruguay,2010,Latin America & Caribbean,0.0113964,,
Uzbekistan,2010,Europe & Central Asia,0.0135954,2006,23.8
Vanuatu,2010,East Asia & Pacific,0.0260937,,
"Venezuela, RB",2010,Latin America & Caribbean,,,
Vietnam,2010,East Asia & Pacific,,,
Virgin Islands (U.S.),2010,Latin America & Caribbean,,,
West Bank and Gaza,2010,Middle East & North Africa,,,
"Yemen, Rep.",2010,Middle East & North Africa,,,
Zambia,2010,Sub-Saharan Africa,0.0103294,2007,19.2
Zimbabwe,2010,Sub-Saharan Africa,0.0073263,,20.5
